id,amount_tsh,gps_height,longitude,latitude,num_private,region_code,district_code,population,construction_year,pump_age_yr,date_recorded_age_yr,funder_factorize,installer_factorize,wpt_name_factorize,basin_factorize,subvillage_factorize,region_factorize,lga_factorize,ward_factorize,scheme_management_factorize,permit_factorize,extraction_type_group_factorize,management_factorize,payment_factorize,payment_type_factorize,water_quality_factorize,quality_group_factorize,quantity_factorize,source_factorize,waterpoint_type_factorize,public_meeting_factorize,status_group
24328,500.0,900,37.59031748,-3.7304578,0,3,2,80,1972,43,2,21,93,35051,2,86,10,57,472,5,1,0,4,6,6,0,0,1,0,3,0,n/a
13750,500.0,1200,32.0400396,-4.99156819,0,14,4,268,2002,13,3,289,316,35052,5,5030,7,67,552,0,1,8,0,1,1,0,0,0,5,2,0,n/a
1574,500.0,1237,38.46742948,-4.8647269,0,4,1,1,1969,46,4,21,5,35053,2,1212,5,37,1694,0,1,0,0,1,1,0,0,0,0,0,0,n/a
44149,500.0,1300,31.36783688,-1.06107072,0,18,7,355,1993,22,4,20,5,35054,1,4362,4,53,163,0,1,2,0,1,1,0,0,1,5,2,0,n/a
53917,500.0,1300,31.12892305,-1.69420356,0,18,1,216,2002,13,4,20,5,4,1,18494,4,4,24,6,1,0,0,0,0,0,0,0,0,0,0,n/a
22705,500.0,1388,36.88065592,-3.31430939,0,2,7,98,2007,8,2,21,37,35055,2,631,15,38,93,0,1,0,0,3,3,0,0,1,0,0,0,n/a
66465,500.0,1158,32.05069828,-3.41259554,0,17,5,123,1999,16,3,92,5,1,5,18495,6,45,723,9,1,0,8,3,3,0,0,3,1,0,0,n/a
15644,500.0,1300,31.83376051,-1.11325712,0,18,2,598,2002,13,4,59,5,35056,1,18496,4,65,1215,0,1,0,0,1,1,0,0,1,1,0,0,n/a
20773,50.0,1120,35.82452906,-5.30269309,0,1,1,613,2000,15,4,21,174,3915,4,18497,14,26,864,0,0,6,0,1,1,0,0,0,3,0,0,n/a
33092,500.0,774,36.96288481,-7.59517464,0,5,1,300,1996,19,4,200,200,145,7,9734,19,80,434,1,1,0,2,1,1,0,0,0,0,0,1,n/a
54392,7500.0,677,37.47908238,-3.81858443,0,3,2,320,2012,3,2,900,102,8897,2,1681,10,57,1903,3,0,12,3,0,0,3,3,0,2,0,0,n/a
37850,50.0,105,38.90647215,-6.74295268,0,6,2,1,2010,5,4,89,5,35057,6,18498,8,88,183,7,1,6,0,2,2,0,0,0,6,1,0,n/a
5576,2000.0,1764,35.77193117,-8.02782346,0,11,7,1,2008,7,4,479,500,0,7,18499,0,27,649,0,1,2,0,1,1,0,0,0,3,2,0,n/a
60840,500.0,1182,35.87050076,-4.13979616,0,21,1,72,1998,17,2,85,5,8596,4,345,2,81,332,0,1,0,0,1,1,0,0,1,0,0,0,n/a
9971,500.0,1116,31.24387308,-6.37911714,0,15,1,70,1972,43,4,21,5,35058,8,223,11,87,1062,7,1,0,7,1,1,0,0,0,0,0,2,n/a
57508,300.0,875,36.64437721,-6.81836802,0,5,1,350,1996,19,4,160,153,35059,6,22,19,80,1539,0,1,3,0,4,4,0,0,1,5,2,0,n/a
25872,500.0,1200,32.99693009,-4.19322784,0,14,1,285,1997,18,3,12,589,1953,4,16286,7,92,1467,0,0,3,0,1,1,0,0,0,5,2,2,n/a
43978,100.0,2116,33.98504961,-8.9881064,0,11,3,357,1974,41,4,21,23,0,7,11235,0,30,1923,0,0,0,0,4,4,0,0,0,0,0,0,n/a
38181,500.0,2576,33.91513217,-9.19113626,0,11,3,139,1986,29,4,21,23,0,0,18500,0,30,37,0,0,0,0,4,4,0,0,0,0,0,0,n/a
24325,300.0,344,37.61832784,-6.13357212,0,5,6,20,2006,9,4,180,180,18803,6,61,19,62,512,0,1,5,0,1,1,0,0,0,5,2,0,n/a
2724,500.0,1300,31.53064308,-1.52024104,0,18,2,505,2002,13,4,20,35,111,1,14582,4,65,589,0,1,0,0,1,1,0,0,1,6,0,0,n/a
34794,500.0,1006,31.14227776,-6.61124387,0,15,1,50,1978,37,4,21,5,35060,8,5193,11,87,1843,7,1,0,7,1,1,0,0,0,0,0,2,n/a
56525,500.0,1158,32.76916953,-3.90293977,0,17,3,208,2005,10,3,300,11,35061,4,11530,6,7,492,0,1,0,0,2,2,0,0,0,0,1,0,n/a
63155,50.0,1300,31.6075471,-1.76796453,0,18,3,282,1985,30,4,531,573,111,1,859,4,50,698,0,1,1,0,1,1,0,0,0,0,0,0,n/a
67247,10.0,1633,37.57594115,-7.08503792,0,5,6,60,2004,11,4,749,785,35062,6,14927,19,62,1764,0,1,0,0,2,2,0,0,0,6,0,0,n/a
23387,500.0,24,38.91481877,-8.78594686,0,80,13,390,2011,4,2,21,5,35063,3,11748,13,102,1420,2,1,3,0,1,1,0,0,0,5,2,0,n/a
17873,300.0,1158,32.30554915,-3.50805245,0,17,5,713,1994,21,3,25,19,22418,5,10993,6,45,1108,2,0,5,9,3,3,3,3,4,9,2,1,n/a
18197,500.0,1569,34.97643178,-8.82935561,0,11,4,40,2009,6,4,38,65,35064,7,10410,0,15,126,0,0,3,0,1,1,0,0,0,7,2,0,n/a
24834,250.0,1610,30.03071578,-4.43392653,0,16,2,650,1999,16,2,548,598,35065,5,5351,12,42,1382,7,1,0,4,6,6,0,0,0,0,0,0,n/a
4091,500.0,1504,38.24442402,-4.4588915,0,4,1,1,1971,44,4,21,5,31780,2,12689,5,37,1454,0,1,0,0,6,6,0,0,0,0,0,0,n/a
33261,500.0,1700,33.81466822,-9.26881883,0,12,4,1141,2000,15,4,25,19,35066,0,292,16,32,1728,0,2,0,0,3,3,0,0,4,0,0,0,n/a
44384,20.0,1721,35.02234242,-4.18404892,0,21,3,192,1994,21,2,789,335,35067,4,18501,2,35,1221,0,1,1,0,2,2,0,0,0,3,0,0,n/a
62096,300.0,1200,32.94718642,-4.99483567,0,14,6,193,1989,26,3,376,91,35068,5,18502,7,8,1689,0,1,5,0,1,1,0,0,2,5,3,2,n/a
64554,100.0,78,39.08342696,-7.0035038,0,7,2,250,2010,5,2,66,59,35069,6,2692,20,71,553,3,0,1,3,2,2,0,0,0,7,0,1,n/a
68314,1000.0,1620,35.56771838,-7.94158325,0,11,1,1,1982,33,4,11,71,0,7,8731,0,49,157,0,1,0,0,6,6,0,0,0,0,0,0,n/a
53,50.0,1414,36.67432678,-3.35742512,0,2,2,200,2000,15,2,21,5,35070,2,386,15,24,369,0,1,0,0,2,2,0,0,1,0,0,0,n/a
23426,500.0,1700,33.91187132,-9.34663784,0,12,4,118,2000,15,4,25,19,35071,0,4437,16,32,105,0,2,0,0,1,1,0,0,0,0,0,0,n/a
38259,500.0,1982,31.63874388,-8.11393053,0,15,4,379,1984,31,2,102,96,35072,5,1137,11,98,872,0,1,0,0,1,1,0,0,2,6,0,0,n/a
16631,100.0,876,36.00884449,-10.73030401,0,10,5,200,1998,17,2,11,9,35073,3,2625,9,10,147,4,0,2,1,6,6,0,0,1,5,2,0,n/a
43162,50.0,1623,34.85774806,-4.96565066,0,13,2,25,2000,15,2,25,19,2237,4,2224,17,31,807,8,2,1,6,1,1,0,0,1,3,0,0,n/a
44492,500.0,1300,31.45209393,-1.45098903,0,18,2,534,1993,22,4,20,5,35074,1,18503,4,65,613,0,1,2,0,1,1,0,0,1,5,2,0,n/a
38884,500.0,1158,33.66932264,-3.66413309,0,17,8,413,2005,10,3,1856,5,35075,4,572,6,46,1151,0,0,0,0,3,3,0,0,1,6,1,2,n/a
13690,100.0,472,37.75333011,-6.91532531,0,5,2,250,2004,11,4,491,521,35076,6,18504,19,69,1348,0,1,0,0,6,6,0,0,0,6,0,0,n/a
60335,500.0,1639,37.47825262,-3.2671678,0,3,4,70,1972,43,2,21,5,35077,2,18505,10,29,1693,1,1,0,2,1,1,0,0,0,6,0,1,n/a
31856,500.0,1158,32.12395834,-4.21150952,0,17,3,2136,2003,12,3,7,5,1000,5,18506,6,7,1553,2,1,3,1,3,3,0,0,1,5,2,0,n/a
67891,20.0,173,38.35640398,-6.64287516,0,6,1,150,2010,5,4,203,18,29626,6,4889,8,22,28,6,1,1,5,2,2,0,0,0,6,0,0,n/a
25564,500.0,697,34.6675289,-10.44890839,0,11,5,60,1984,31,4,251,5,0,0,18507,0,0,2057,0,0,0,0,1,1,0,0,0,0,0,0,n/a
55293,500.0,1989,34.23757868,-9.38027549,0,11,3,31,1984,31,4,38,23,0,0,9082,0,30,101,0,0,0,0,1,1,0,0,0,0,0,0,n/a
31866,5.0,1093,37.27313434,-3.28468532,0,3,4,20,2007,8,2,36,5,35078,2,343,10,29,331,5,1,0,4,2,2,0,0,0,6,0,0,n/a
71178,500.0,1700,32.88527532,-8.98348456,0,12,6,279,1995,20,4,38,30,35079,8,3107,16,68,174,0,0,3,0,4,4,0,0,0,5,2,0,n/a
60279,500.0,2012,34.740896,-9.39969423,0,11,4,80,2002,13,4,250,133,0,7,142,0,15,365,0,1,0,0,1,1,0,0,0,0,0,0,n/a
28615,500.0,1274,34.98990302,-10.94025521,0,10,3,260,2002,13,2,1009,1102,248,0,2061,9,96,610,5,1,0,4,6,6,0,0,0,0,0,0,n/a
8744,100.0,2132,34.21215284,-9.45018053,0,11,3,73,2002,13,4,21,23,0,0,70,0,30,1064,0,0,0,0,6,6,0,0,0,0,0,0,n/a
48308,500.0,1158,32.75733701,-3.94044709,0,17,3,208,1999,16,3,300,11,35080,5,4489,6,7,492,0,1,0,0,2,2,0,0,0,0,1,0,n/a
49626,500.0,1287,33.86144433,-1.98006878,0,20,4,200,1972,43,3,85,351,35081,1,11646,1,63,629,6,1,0,5,3,3,0,0,2,8,1,0,n/a
38098,500.0,1306,36.89963137,-3.11331959,0,2,7,250,2010,5,2,79,107,35082,4,7170,15,38,159,0,1,0,5,3,3,0,0,1,0,0,0,n/a
30309,500.0,1339,34.07442773,-2.99369841,0,17,1,250,1998,17,2,6,5,35083,1,14,6,16,14,4,0,3,1,1,1,0,0,0,5,2,0,n/a
8015,500.0,1140,32.92057868,-2.47456022,0,19,8,982,1998,17,4,1784,2016,35084,1,1469,18,120,1121,3,1,3,3,1,1,1,1,0,5,2,0,n/a
3496,50.0,500,37.21538421,-6.51840064,0,5,1,189,2005,10,4,64,2089,7661,6,6392,19,80,1060,0,1,1,0,1,1,1,1,0,3,0,0,n/a
56971,500.0,1193,38.48246991,-4.6185188,0,4,1,1,2010,5,4,21,5,35085,2,18508,5,37,1552,0,1,2,0,1,1,1,1,0,5,2,0,n/a
68616,500.0,1140,33.08579615,-2.6398872200000003,0,19,6,1217,2009,6,4,109,101,35086,1,3913,18,34,209,0,1,4,0,1,1,0,0,1,3,2,0,n/a
8646,500.0,1042,35.7588964,-10.5153101,0,10,5,180,1983,32,2,11,9,35087,0,16077,9,10,11,4,0,2,1,4,4,0,0,1,5,2,0,n/a
74104,50.0,1120,35.84163553,-6.77170227,0,1,4,1914,2004,11,4,337,284,128,7,11770,14,21,1463,0,1,6,0,3,3,0,0,1,3,1,0,n/a
37501,50.0,720,39.24118301,-10.87948265,0,90,33,850,1996,19,2,461,480,35088,3,7974,3,91,834,0,0,0,0,2,2,0,0,1,0,0,0,n/a
33001,50.0,1200,33.18150167,-4.20028394,0,14,1,698,2002,13,3,43,11,25198,4,12836,7,92,1265,7,1,1,7,1,1,5,5,1,2,0,2,n/a
69202,500.0,1682,37.58743816,-3.21965387,0,3,1,1,2000,15,2,241,237,35089,2,7502,10,20,953,8,1,0,6,6,6,0,0,0,0,0,0,n/a
68409,5.0,942,37.15330819,-3.33484802,0,3,5,50,1999,16,2,54,46,3985,2,291,10,56,632,5,1,0,4,2,2,0,0,0,0,0,0,n/a
51847,50.0,1120,36.15989877,-5.56955781,0,1,4,355,2008,7,4,21,284,35090,6,2,14,21,1169,0,1,6,0,3,3,0,0,2,3,1,0,n/a
55647,500.0,1158,32.97098153,-3.73365859,0,17,3,419,1994,21,3,6,6,35091,4,4218,6,6,243,4,1,2,1,1,1,0,0,2,5,2,0,n/a
17923,500.0,1171,33.09373422,-2.03466061,0,19,1,350,1990,25,4,20,5,35092,1,265,18,90,2023,2,1,2,0,1,1,5,5,3,5,2,0,n/a
71743,50.0,110,38.86003518,-6.7832854000000005,0,6,2,100,1986,29,4,162,5,35093,6,457,8,88,421,9,1,6,0,2,2,0,0,2,6,3,0,n/a
51539,500.0,1158,33.37181104,-3.5219862,0,17,1,369,1998,17,2,6,5,35094,1,8231,6,16,554,4,0,3,1,3,3,0,0,0,5,2,1,n/a
73819,50.0,1120,35.75457603,-6.33126372,0,1,5,406,2004,11,4,22,23,35095,7,223,14,93,984,0,0,6,0,2,2,0,0,0,3,1,0,n/a
66881,500.0,1700,32.93155539,-9.26673527,0,12,6,175,1998,17,4,38,30,35096,0,5636,16,68,1388,0,0,3,0,4,4,0,0,0,5,2,0,n/a
58768,500.0,951,29.88877545,-5.31079128,0,16,3,300,1999,16,2,236,5,35097,5,18509,12,18,1396,0,1,3,0,3,3,0,0,0,5,2,0,n/a
2648,500.0,1300,31.32170771,-2.66167239,0,18,4,505,1999,16,4,1289,1952,2928,5,2816,4,59,1008,0,1,0,0,1,1,0,0,1,0,0,0,n/a
68933,500.0,439,34.84589302,-11.32726797,0,10,3,96,1992,23,2,11,9,35098,0,17653,9,96,322,0,1,0,0,6,6,0,0,0,0,0,1,n/a
12427,500.0,1111,30.36036456,-4.86323549,0,16,2,740,2007,8,2,21,5,35099,5,7843,12,18,709,7,0,3,0,1,1,0,0,0,5,2,0,n/a
16633,300.0,1700,32.72547129,-8.84626582,0,12,6,387,1991,24,4,38,30,7564,8,6030,16,68,219,0,0,5,0,1,1,0,0,3,5,3,2,n/a
24123,500.0,1827,35.76559605,-8.08149573,0,11,7,400,2009,6,4,80,72,0,7,18510,0,27,161,0,1,4,0,1,1,0,0,0,3,2,0,n/a
58551,50.0,1120,35.94820405,-6.14209678,0,1,5,297,2008,7,4,65,23,35100,6,13844,14,93,541,0,0,6,0,2,2,0,0,2,3,1,0,n/a
17132,50.0,137,38.9532646,-6.81055717,0,6,2,1,2007,8,4,18,149,35101,6,5567,8,88,325,7,1,6,0,2,2,0,0,0,6,1,0,n/a
